,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kodiak,US,57.79,-152.41,47.71,76,1,9.22,clear sky
1,Lazaro Cardenas,MX,17.96,-102.2,85.46,64,74,4.07,broken clouds
2,Mweka,CD,-4.85,21.57,83.75,41,12,1.61,few clouds
3,Narsaq,GL,60.92,-46.05,53.82,65,31,8.97,scattered clouds
4,Carballo,ES,43.21,-8.69,88.59,61,0,12.88,clear sky
5,Tuktoyaktuk,CA,69.45,-133.04,44.6,76,40,10.36,scattered clouds
6,Galle,LK,6.04,80.22,80.62,85,80,13.02,broken clouds
7,Nurota,UZ,40.56,65.69,89.69,17,2,11.16,clear sky
8,Faya,SA,18.39,42.45,84.72,23,74,4.21,broken clouds
9,Alyangula,AU,-13.85,136.42,67.87,94,5,3.44,clear sky
10,Tarusa,RU,54.72,37.18,72.16,78,71,4.03,broken clouds
11,Los Andes,CL,-32.83,-70.6,65.97,14,0,4.0,clear sky
12,Rocha,UY,-34.48,-54.33,64.54,59,4,10.2,clear sky
13,Malangali,TZ,-8.57,34.85,61.02,70,0,12.71,clear sky
14,Severo-Kurilsk,RU,50.68,156.12,49.78,81,100,1.86,overcast clouds
15,Rikitea,PF,-23.12,-134.97,76.03,79,100,12.64,overcast clouds
16,Point Pleasant,US,40.08,-74.07,75.22,74,90,1.99,overcast clouds
17,Salamiyah,SY,35.01,37.05,76.35,32,0,21.09,clear sky
18,Nikolskoye,RU,59.7,30.79,71.49,70,77,6.58,broken clouds
19,Puerto Ayora,EC,-0.74,-90.35,80.56,95,92,8.99,overcast clouds
20,Fare,PF,-16.7,-151.02,79.16,78,76,13.73,light rain
21,Georgetown,MY,5.41,100.34,84.88,80,20,0.0,few clouds
22,Port Blair,IN,11.67,92.75,82.69,81,67,18.52,broken clouds
23,Kita,ML,13.03,-9.49,103.42,21,24,4.72,few clouds
24,Biak,ID,-0.91,122.88,75.45,88,56,0.56,broken clouds
25,Adrar,MR,20.5,-10.07,110.84,7,44,8.3,scattered clouds
26,Fountain,US,38.68,-104.7,84.43,41,1,3.44,clear sky
27,Ushuaia,AR,-54.8,-68.3,37.06,93,0,4.61,clear sky
28,New Norfolk,AU,-42.78,147.06,53.92,81,100,1.01,overcast clouds
29,Vestmannaeyjar,IS,63.44,-20.27,49.19,81,40,21.85,scattered clouds
30,Borgarnes,IS,64.54,-21.92,55.18,46,97,3.06,overcast clouds
31,Port Elizabeth,ZA,-33.92,25.57,66.49,82,0,8.05,clear sky
32,Cao Bang,VN,22.67,106.25,76.1,96,66,3.62,heavy intensity rain
33,Kysyl-Syr,RU,63.9,122.76,46.42,52,9,4.27,clear sky
34,Lebu,CL,-37.62,-73.65,59.41,83,94,5.32,overcast clouds
35,Sao Filipe,CV,14.9,-24.5,75.99,80,97,4.27,overcast clouds
36,Allapalli,IN,19.42,80.07,80.33,81,97,4.85,overcast clouds
37,San Rafael,AR,-34.62,-68.33,69.39,24,3,9.51,clear sky
38,Jais,IN,26.25,81.53,91.54,51,37,11.03,scattered clouds
39,Carnarvon,AU,-24.87,113.63,57.27,53,4,3.44,clear sky
40,Vaini,TO,-21.2,-175.2,71.76,78,20,10.36,few clouds
41,Fort Nelson,CA,58.81,-122.7,47.79,100,90,3.44,fog
42,Naze,JP,28.37,129.48,74.64,88,99,5.57,overcast clouds
43,Rumphi,MW,-11.02,33.86,60.73,81,39,3.62,scattered clouds
44,Paraiso,CR,9.84,-83.87,75.42,66,81,3.04,broken clouds
45,Faanui,PF,-16.48,-151.75,79.59,79,39,8.93,light rain
46,Waipawa,NZ,-41.41,175.52,56.03,89,100,8.37,overcast clouds
47,Penalva,BR,-3.29,-45.17,83.59,75,85,0.83,overcast clouds
48,Trincomalee,LK,8.57,81.23,82.42,75,43,21.83,scattered clouds
49,Hermanus,ZA,-34.42,19.23,63.9,74,31,3.6,scattered clouds
50,Esperance,AU,-33.87,121.9,55.24,72,54,6.64,broken clouds
51,Bethel,US,41.37,-73.41,66.56,81,90,5.75,overcast clouds
52,Saint-Philippe,RE,-21.36,55.77,72.95,74,60,13.96,broken clouds
53,Kapaa,US,22.08,-159.32,73.72,82,90,1.99,moderate rain
54,Upernavik,GL,72.79,-56.15,36.05,93,100,4.05,overcast clouds
55,Bengkulu,ID,-3.8,102.27,76.55,90,77,3.58,broken clouds
56,Pangnirtung,CA,66.15,-65.71,35.6,93,90,11.5,overcast clouds
57,Pisco,PE,-13.7,-76.22,64.45,77,90,9.22,overcast clouds
58,Grand Baie,MU,-20.02,57.58,75.67,67,88,8.01,overcast clouds
59,Cabo San Lucas,MX,22.89,-109.91,89.82,61,4,2.66,clear sky
60,Cururupu,BR,-1.83,-44.87,79.45,90,81,3.02,broken clouds
61,Korla,CN,41.76,86.15,69.57,51,15,15.05,few clouds
62,Hebi,CN,35.9,114.19,84.11,55,4,5.86,light rain
63,Vardo,NO,70.37,31.11,57.09,61,48,12.68,scattered clouds
64,Port Alfred,ZA,-33.59,26.89,65.82,71,100,7.05,overcast clouds
65,Anadyr,RU,64.75,177.48,36.1,100,75,2.24,fog mist
66,Novouzensk,RU,50.46,48.14,73.8,64,32,3.0,scattered clouds
67,Gamba,GA,-2.65,10.0,79.68,79,24,7.18,few clouds
68,Teguise,ES,29.06,-13.56,75.42,53,20,19.57,few clouds
69,Gari,RU,59.43,62.35,65.08,56,15,5.03,few clouds
70,Diebougou,BF,10.97,-3.25,94.5,36,69,7.16,broken clouds
71,Ulladulla,AU,-35.35,150.47,55.09,70,16,9.04,few clouds
72,Dikson,RU,73.51,80.55,30.45,88,52,3.24,broken clouds
73,Belaya Gora,RU,68.53,146.42,55.99,44,98,6.91,overcast clouds
74,Hobart,AU,-42.88,147.33,54.27,94,90,9.22,overcast clouds
75,Albany,US,42.6,-73.97,72.36,80,97,2.39,overcast clouds
76,Chuy,UY,-33.7,-53.46,61.99,60,43,9.64,scattered clouds
77,Ponta Delgada,PT,37.73,-25.67,72.32,73,40,8.05,scattered clouds
78,Norman Wells,CA,65.28,-126.83,51.84,93,90,10.36,moderate rain
79,Hilo,US,19.73,-155.09,70.79,91,90,4.61,light rain mist
80,Mbala,ZM,-8.84,31.37,65.05,57,17,5.01,few clouds
81,Kamenka,RU,51.32,42.77,67.19,81,45,8.3,scattered clouds
82,Torbay,CA,47.67,-52.73,59.77,47,40,16.11,scattered clouds
83,Hobyo,SO,5.35,48.53,78.71,79,100,27.51,overcast clouds
84,Butaritari,KI,3.07,172.79,82.29,77,48,9.48,light rain
85,Busselton,AU,-33.65,115.33,54.05,89,15,8.46,few clouds
86,Viedma,AR,-40.81,-63.0,68.23,41,68,14.54,broken clouds
87,Muros,ES,42.78,-9.06,89.69,40,0,2.8,clear sky
88,Qaanaaq,GL,77.48,-69.36,36.7,79,89,3.38,overcast clouds
89,Adre,TD,13.47,22.2,94.42,23,98,10.45,overcast clouds
90,Salinas,US,36.68,-121.66,69.21,64,1,8.05,clear sky
91,Saint-Georges,GD,12.06,-61.75,83.88,74,40,21.85,scattered clouds
92,Shahrud,IR,36.42,54.98,78.12,40,0,12.68,clear sky
93,Erenhot,CN,43.65,111.98,75.85,34,60,3.58,broken clouds
94,Maryville,US,35.76,-83.97,84.18,79,39,1.99,scattered clouds
95,Lerwick,GB,60.15,-1.15,53.6,78,22,17.09,few clouds
96,Baykit,RU,61.67,96.37,50.85,82,100,8.39,overcast clouds
97,Erzin,TR,36.96,36.2,81.12,77,33,9.28,scattered clouds
98,Bani,DO,18.28,-70.33,86.76,59,65,10.45,broken clouds
99,Mayna,RU,54.11,47.62,65.46,85,68,4.83,broken clouds
100,Atar,MR,20.52,-13.05,112.14,9,61,14.43,broken clouds
101,Mahebourg,MU,-20.41,57.7,75.49,69,75,13.8,broken clouds
102,Bredasdorp,ZA,-34.53,20.04,61.92,82,39,3.44,scattered clouds
103,Tiksi,RU,71.69,128.87,44.08,73,58,11.21,broken clouds
104,Hanzhong,CN,33.07,107.03,73.89,77,87,1.32,light rain
105,Khatanga,RU,71.97,102.5,38.71,78,100,10.87,overcast clouds
106,Yellowknife,CA,62.46,-114.35,46.92,100,90,12.66,fog
107,Bluff,NZ,-46.6,168.33,51.87,87,100,3.24,moderate rain
108,Maragogi,BR,-9.01,-35.22,80.74,62,10,8.16,clear sky
109,Longyearbyen,SJ,78.22,15.64,39.04,65,75,8.05,broken clouds
110,Half Moon Bay,US,37.46,-122.43,69.13,82,75,6.91,broken clouds
111,Arman,RU,59.7,150.17,46.33,65,4,4.43,clear sky
112,Luis Correia,BR,-2.88,-41.67,80.6,89,75,6.91,broken clouds
113,Barrow,US,71.29,-156.79,30.22,93,90,8.05,mist
114,Atuona,PF,-9.8,-139.03,78.51,69,20,15.32,few clouds
115,Sioux Lookout,CA,50.1,-91.92,66.58,72,75,12.66,broken clouds
116,Jamestown,US,42.1,-79.24,76.01,78,75,3.0,broken clouds
117,Vao,NC,-22.67,167.48,73.06,72,98,12.91,overcast clouds
118,Chokurdakh,RU,70.63,147.92,57.79,39,100,9.01,overcast clouds
119,Tura,IN,25.52,90.22,73.87,95,100,3.18,overcast clouds
120,San Juan,AR,-31.54,-68.54,78.73,25,1,6.93,clear sky
121,Ulaangom,MN,49.98,92.07,56.28,58,91,5.01,overcast clouds
122,Jinchang,CN,38.5,102.17,68.67,48,92,6.89,overcast clouds
123,East London,ZA,-33.02,27.91,67.14,59,0,10.36,clear sky
124,Correntina,BR,-13.34,-44.64,90.39,27,62,4.68,broken clouds
125,Deputatskiy,RU,69.3,139.9,46.29,75,100,3.51,overcast clouds
126,Alta Floresta,BR,-9.88,-56.09,87.62,55,40,9.22,scattered clouds
127,Ilhabela,BR,-23.78,-45.36,69.31,70,41,2.26,scattered clouds
128,Umm Kaddadah,SD,13.6,26.69,105.87,8,76,15.21,broken clouds
129,Soyo,AO,-6.13,12.37,82.45,77,86,8.84,overcast clouds
130,Gondar,ET,12.6,37.47,70.56,52,95,10.87,overcast clouds
131,Bonfim,BR,3.08,-59.95,85.51,61,73,3.91,broken clouds
132,Todos Santos,MX,23.45,-110.22,89.31,58,3,4.92,clear sky
133,Alofi,NU,-19.06,-169.92,71.49,78,96,13.8,overcast clouds
134,Ahuimanu,US,21.44,-157.84,74.86,79,96,13.18,light rain
135,San Patricio,US,28.02,-97.52,89.69,61,9,8.23,clear sky
136,Rio Grande,BR,-32.03,-52.1,66.31,58,69,12.01,broken clouds
137,Mataura,NZ,-46.19,168.86,47.79,88,100,3.94,light rain
138,Maracas,BR,-13.44,-40.43,82.85,35,81,3.11,broken clouds
139,San Luis,AR,-33.3,-66.34,71.6,29,2,11.95,clear sky
140,Kolosovka,RU,56.47,73.61,55.11,88,100,6.98,overcast clouds
141,Shingu,JP,33.73,135.98,71.91,90,100,3.62,overcast clouds
142,Arraial Do Cabo,BR,-22.97,-42.03,76.96,56,75,6.91,broken clouds
143,Macusani,PE,-14.08,-70.43,46.62,49,36,4.65,scattered clouds
144,Chernyshevskiy,RU,63.01,112.47,44.02,67,67,6.44,broken clouds
145,Praia Da Vitoria,PT,38.73,-27.07,73.65,78,40,4.97,scattered clouds
146,Katsuura,JP,35.13,140.3,74.19,89,100,12.84,overcast clouds
147,Kasempa,ZM,-13.46,25.83,63.93,33,33,4.29,scattered clouds
148,Tezu,IN,27.92,96.17,79.14,84,50,3.4,scattered clouds
149,Cape Town,ZA,-33.93,18.42,65.12,67,0,1.01,clear sky
150,Denizli,TR,37.84,29.07,76.41,46,65,2.15,broken clouds
151,Los Llanos De Aridane,ES,28.66,-17.92,69.55,73,75,14.97,broken clouds
152,Lompoc,US,34.64,-120.46,80.85,74,1,11.99,clear sky
153,Mar Del Plata,AR,-38.0,-57.56,69.1,60,0,5.01,clear sky
154,Playa Vicente,MX,17.83,-95.82,79.7,77,79,1.5,broken clouds
155,Innisfail,AU,-17.53,146.03,70.02,93,100,4.68,overcast clouds
156,Dingle,PH,11.0,122.67,77.97,86,100,1.45,light rain
157,Bairiki,KI,1.33,172.98,80.6,83,20,0.0,light rain
158,Banjar,ID,-8.19,114.97,78.66,84,3,3.62,clear sky
159,Margate,GB,51.38,1.39,77.86,54,6,3.27,clear sky
160,Aripuana,BR,-9.17,-60.63,90.61,39,64,4.85,broken clouds
161,Santa Isabel Do Rio Negro,BR,-0.41,-65.02,86.27,64,86,4.16,overcast clouds
162,Smidovich,RU,48.6,133.82,56.53,97,47,8.5,scattered clouds
163,Castro,BR,-24.79,-50.01,61.66,40,0,4.32,clear sky
164,Amga,RU,60.9,131.96,54.3,66,92,7.02,overcast clouds
165,Punta Arenas,CL,-53.15,-70.92,42.91,81,75,19.57,broken clouds
166,Yakeshi,CN,49.28,120.73,57.78,87,100,6.87,light rain
167,Comodoro Rivadavia,AR,-45.87,-67.5,51.66,46,0,13.8,clear sky
168,Semey,KZ,50.41,80.23,55.62,38,0,8.95,clear sky
169,Talnakh,RU,69.49,88.4,34.43,95,100,7.31,overcast clouds
170,Rincon,US,32.3,-81.24,88.86,74,75,10.36,broken clouds
171,Kaeo,NZ,-35.1,173.78,59.32,85,99,8.28,overcast clouds
172,Itacoatiara,BR,-3.14,-58.44,86.45,62,80,3.13,broken clouds
173,Hamilton,US,39.18,-84.53,88.21,68,1,1.01,clear sky
174,Hendek,TR,40.8,30.75,69.55,71,2,3.67,clear sky
175,Kashiwazaki,JP,37.37,138.55,67.87,79,100,5.82,light rain
176,Labrea,BR,-7.26,-64.8,88.65,49,29,4.9,scattered clouds
177,Lasa,IT,46.62,10.7,79.68,59,94,5.3,overcast clouds
178,Clyde River,CA,70.47,-68.59,41.23,75,40,19.57,scattered clouds
179,Isla Mujeres,MX,21.23,-86.73,87.17,80,100,9.57,overcast clouds
180,Victoria,HK,22.29,114.16,83.97,92,100,8.99,overcast clouds
181,Banepa,NP,27.63,85.52,68.32,94,90,3.44,overcast clouds
182,Yulara,AU,-25.24,130.99,53.44,35,40,4.61,scattered clouds
183,Yumen,CN,40.28,97.2,68.43,43,4,9.01,clear sky
184,Rawson,AR,-43.3,-65.1,60.94,47,100,22.24,overcast clouds
185,Fortuna,US,40.6,-124.16,68.47,73,75,1.01,broken clouds
186,Bara,NG,10.37,10.73,92.16,38,72,7.09,broken clouds
187,Buchanan,LR,5.88,-10.05,89.56,78,100,6.11,moderate rain
188,Abu Dhabi,AE,24.47,54.37,95.02,59,0,9.22,clear sky
189,Boyolangu,ID,-8.12,111.89,75.29,90,24,1.99,few clouds
190,Celestun,MX,20.87,-90.4,85.71,64,90,7.74,overcast clouds
191,Polunochnoye,RU,60.87,60.42,67.39,43,5,5.86,clear sky
192,Provideniya,RU,64.38,-173.3,38.68,97,100,12.06,light rain
193,Kisanga,TZ,-7.44,37.7,72.7,68,89,3.87,overcast clouds
194,Touros,BR,-5.2,-35.46,86.9,57,23,16.55,few clouds
195,Araouane,ML,18.9,-3.53,113.16,5,6,10.63,clear sky
196,Kruisfontein,ZA,-34.0,24.73,62.89,73,100,3.27,overcast clouds
197,Tarko-Sale,RU,64.92,77.78,53.01,80,100,7.0,very heavy rain
198,Mitchell,US,43.71,-98.03,78.12,48,1,3.0,clear sky
199,Plettenberg Bay,ZA,-34.05,23.37,62.2,76,100,1.43,overcast clouds
200,Ornskoldsvik,SE,63.29,18.72,64.22,72,90,12.66,overcast clouds
201,Union City,US,37.6,-122.02,70.9,80,90,1.01,overcast clouds
202,Yerbogachen,RU,61.28,108.01,45.86,65,46,5.57,scattered clouds
203,Coquimbo,CL,-29.95,-71.34,53.33,87,90,3.44,overcast clouds
204,Saint George,US,37.1,-113.58,88.54,8,1,0.0,clear sky
205,Beringovskiy,RU,63.05,179.32,36.61,98,100,3.87,overcast clouds
206,Ulaanbaatar,MN,47.91,106.88,69.93,35,40,13.42,scattered clouds
207,Catuday,PH,16.29,119.81,81.27,74,100,10.8,overcast clouds
208,San Cristobal,VE,7.77,-72.22,80.78,51,53,9.17,broken clouds
209,Tasiilaq,GL,65.61,-37.64,41.16,98,100,4.45,overcast clouds
210,Pevek,RU,69.7,170.31,30.63,93,31,3.49,scattered clouds
211,Hegra,NO,63.46,11.11,57.42,71,75,19.57,light intensity drizzle
212,Paka,MY,4.64,103.44,82.33,83,100,3.44,overcast clouds
213,Mayskiy,RU,47.69,40.1,74.61,73,22,8.86,few clouds
214,Namatanai,PG,-3.67,152.43,79.47,79,15,6.67,light rain
215,Kuching,MY,1.55,110.33,80.82,89,20,2.3,few clouds
216,Chapais,CA,49.78,-74.85,62.38,21,0,8.66,clear sky
217,Puerto Madero,MX,14.72,-92.42,80.96,78,100,9.17,overcast clouds
218,Kokoda,PG,-8.88,147.74,72.45,93,49,1.28,scattered clouds
219,Samarai,PG,-10.62,150.67,80.2,83,23,10.63,few clouds
220,Klaksvik,FO,62.23,-6.59,47.32,75,85,19.17,overcast clouds
221,Lavrentiya,RU,65.58,-171.0,36.25,99,100,7.27,light rain
222,Khani,GE,41.96,42.96,62.17,87,99,3.27,light rain
223,Tabou,CI,4.42,-7.35,81.88,76,87,6.06,light rain
224,Okhotsk,RU,59.38,143.3,45.01,71,1,4.5,clear sky
225,Karratha,AU,-20.74,116.85,74.41,49,93,8.21,overcast clouds
226,Derzhavinsk,KZ,51.1,66.32,65.62,33,2,7.74,clear sky
227,Te Anau,NZ,-45.42,167.72,53.13,97,100,1.88,overcast clouds
228,Harper,LR,4.38,-7.72,81.59,77,93,5.95,light rain
229,Sorong,ID,-0.88,131.25,78.85,85,100,4.07,overcast clouds
230,Yuancheng,CN,36.65,107.79,72.55,64,100,10.31,overcast clouds
231,Nanortalik,GL,60.14,-45.24,38.93,82,75,8.55,broken clouds
232,Olafsvik,IS,64.89,-23.71,44.2,57,72,6.98,broken clouds
233,Hithadhoo,MV,-0.6,73.08,82.98,74,62,9.89,broken clouds
234,Havelock,US,34.88,-76.9,82.98,77,75,3.0,broken clouds
235,Egvekinot,RU,66.32,-179.17,38.82,77,100,3.94,overcast clouds
236,Avarua,CK,-21.21,-159.78,73.45,64,75,6.91,light rain
237,Trinidad,BO,-14.83,-64.9,73.38,68,20,5.75,few clouds
238,Asosa,ET,10.07,34.53,68.25,82,80,0.67,light rain
239,Thompson,CA,55.74,-97.86,50.16,100,90,11.5,mist
240,Arlit,NE,18.74,7.39,110.68,5,16,2.48,few clouds
241,Mahibadhoo,MV,3.78,72.97,83.39,74,95,13.56,overcast clouds
242,Hassleholm,SE,56.16,13.77,63.95,55,8,16.62,clear sky
243,Altos Del Rosario,CO,8.79,-74.17,84.11,79,96,1.54,overcast clouds
244,Jaru,BR,-10.44,-62.47,82.89,58,93,6.26,overcast clouds
245,Hovd,MN,48.01,91.64,61.07,21,0,5.5,clear sky
246,Poum,NC,-20.23,164.02,74.84,77,86,18.34,overcast clouds
247,Nelson Bay,AU,-32.72,152.15,55.09,71,1,3.0,clear sky
248,Filingue,NE,14.35,3.32,105.06,20,98,9.06,overcast clouds
249,Geraldton,AU,-28.77,114.6,55.81,94,2,8.05,clear sky
250,Iqaluit,CA,63.75,-68.51,40.73,65,20,8.99,few clouds
251,Bilibino,RU,68.05,166.44,44.47,70,44,2.57,scattered clouds
252,Saldanha,ZA,-33.01,17.94,60.85,76,81,8.08,broken clouds
253,Kununurra,AU,-15.77,128.73,55.38,82,100,0.0,overcast clouds
254,Svetlogorsk,BY,52.63,29.73,67.8,80,51,5.79,broken clouds
255,Juneau,US,58.3,-134.42,52.84,95,90,0.0,light rain
256,Itarema,BR,-2.92,-39.92,85.69,62,66,8.97,broken clouds
257,Saskylakh,RU,71.92,114.08,49.64,56,99,4.61,overcast clouds
258,Berezovyy,RU,51.67,135.7,50.25,89,95,1.63,overcast clouds
259,Narrabri,AU,-30.32,149.78,48.52,93,90,0.0,overcast clouds
260,North Myrtle Beach,US,33.82,-78.68,86.11,75,75,1.01,broken clouds
261,Gat,IL,31.61,34.76,90.39,31,1,15.43,clear sky
262,Kortkeros,RU,61.81,51.58,71.6,45,89,5.23,overcast clouds
263,Biankouma,CI,7.74,-7.61,86.23,52,70,4.85,broken clouds
264,Kisangani,CD,0.52,25.2,80.62,62,81,3.38,broken clouds
265,Storforshei,NO,66.4,14.52,51.58,76,75,4.61,broken clouds
266,Susanville,US,40.42,-120.65,65.08,40,1,1.01,clear sky
267,Fairbanks,US,64.84,-147.72,64.22,75,40,3.44,scattered clouds
268,Saint-Pierre,RE,-21.34,55.48,73.04,83,0,5.75,clear sky
269,Gojra,PK,31.15,72.69,105.26,26,0,8.84,clear sky
270,Carutapera,BR,-1.2,-46.02,79.34,80,98,7.99,moderate rain
271,Chilca,PE,-12.52,-76.74,69.6,82,95,5.99,overcast clouds
272,Kavaratti,IN,10.57,72.64,83.73,77,100,21.9,light rain
273,Toamasina,MG,-18.17,49.38,71.6,94,75,6.91,moderate rain
274,Vila Franca Do Campo,PT,37.72,-25.43,72.01,70,48,0.56,scattered clouds
275,Kuhdasht,IR,33.53,47.61,82.54,11,0,12.03,clear sky
276,Carmen,MX,18.63,-91.83,79.45,84,100,1.7,overcast clouds
277,Vostok,RU,46.49,135.88,52.93,96,3,5.37,clear sky
278,Bathsheba,BB,13.22,-59.52,88.41,55,20,18.41,few clouds
279,Gagra,GE,43.33,40.22,68.92,88,21,6.64,few clouds
280,Ramygala,LT,55.52,24.3,62.82,93,100,10.96,moderate rain
281,Macomer,IT,40.26,8.77,79.63,45,93,6.69,overcast clouds
282,Bajil,YE,15.06,43.29,96.94,29,75,10.87,broken clouds
283,Placido De Castro,BR,-10.34,-67.19,80.04,55,81,4.72,broken clouds
284,Turangi,NZ,-39.0,175.93,41.43,97,100,0.25,overcast clouds
285,Hofn,IS,64.25,-15.21,44.58,57,51,13.33,broken clouds
286,Luderitz,NA,-26.65,15.16,60.58,78,100,12.44,overcast clouds
287,Kanniyakumari,IN,8.08,77.57,81.27,80,100,20.38,overcast clouds
288,Isakly,RU,54.13,51.53,64.99,90,100,9.89,overcast clouds
289,Maldonado,UY,-34.67,-54.92,61.23,62,3,12.15,clear sky
290,Sari,IR,36.56,53.06,73.45,66,8,5.01,clear sky
291,Andenes,NO,69.31,16.12,53.08,71,20,11.5,few clouds
292,Sorland,NO,67.67,12.69,50.58,84,100,14.38,overcast clouds
293,Quesnel,CA,53.0,-122.5,55.9,62,1,8.05,clear sky
294,Frankfort,ZA,-27.27,28.48,56.79,36,3,5.61,clear sky
295,Suhbaatar,MN,50.23,106.21,57.09,73,91,6.13,moderate rain
296,Bambous Virieux,MU,-20.34,57.76,75.45,69,75,13.8,broken clouds
297,Najran,SA,17.49,44.13,93.85,10,49,12.35,scattered clouds
298,San Vicente,AR,-26.62,-54.13,66.29,34,0,2.28,clear sky
299,Cherdyn,RU,60.4,56.48,67.69,47,67,4.59,broken clouds
300,Kiama,AU,-34.68,150.87,56.37,64,1,13.0,clear sky
301,Necochea,AR,-38.55,-58.74,71.04,47,19,14.41,few clouds
302,Lagoa,PT,39.05,-27.98,67.32,78,0,1.32,clear sky
303,Marawi,PH,8.0,124.29,66.65,95,100,3.56,overcast clouds
304,Dahra,DZ,36.25,0.85,94.39,37,3,13.96,clear sky
305,Santo Domingo,DO,18.5,-69.99,87.48,70,40,4.0,scattered clouds
306,Huilong,CN,31.81,121.66,78.04,93,100,8.21,light rain
307,Sitka,US,57.05,-135.33,51.69,76,40,3.44,scattered clouds
308,Evanston,US,42.04,-87.69,92.14,61,1,1.01,clear sky
309,Labuan,MY,5.28,115.24,80.96,78,40,5.01,light rain
310,Seoul,KR,37.57,126.98,71.2,91,0,3.44,clear sky
311,Souillac,MU,-20.52,57.52,75.58,69,75,13.8,broken clouds
312,La Ronge,CA,55.1,-105.28,57.45,88,90,6.91,overcast clouds
313,Gilgit,PK,35.92,74.31,80.91,35,38,3.83,scattered clouds
314,Airai,TL,-8.93,125.41,57.87,91,75,2.66,broken clouds
315,Aykhal,RU,66.0,111.5,46.17,87,100,25.23,light rain
316,Pangkalanbuun,ID,-2.68,111.62,74.57,96,100,2.15,moderate rain
317,Pacific Grove,US,36.62,-121.92,67.95,68,1,3.0,clear sky
318,Zhigansk,RU,66.77,123.37,49.17,44,25,9.46,scattered clouds
319,Ilulissat,GL,69.22,-51.1,38.84,78,48,2.95,scattered clouds
320,Matamoros,MX,25.53,-103.25,84.11,34,0,5.41,clear sky
321,Mayo,US,38.89,-76.51,74.35,78,90,8.99,overcast clouds
322,Venice,US,27.1,-82.45,91.27,73,1,8.01,haze
323,Padang,ID,-0.95,100.35,78.31,82,95,3.67,overcast clouds
324,Auki,SB,-8.77,160.7,76.73,87,31,1.79,scattered clouds
325,Morales,CO,2.76,-76.62,77.25,53,57,3.18,broken clouds
326,Taoudenni,ML,22.68,-3.98,113.65,6,0,7.85,clear sky
327,Arzgir,RU,45.37,44.22,76.86,53,73,4.54,broken clouds
328,Ixtapa,MX,20.7,-105.2,87.22,70,75,0.0,broken clouds
329,Paamiut,GL,61.99,-49.67,37.99,89,48,15.48,scattered clouds
330,North Bend,US,43.41,-124.22,65.25,92,90,3.44,overcast clouds
331,Lata,PT,40.16,-8.33,90.05,29,61,6.15,light rain
332,Stokmarknes,NO,68.56,14.91,56.5,68,64,6.24,broken clouds
333,Conde,BR,-7.26,-34.91,83.66,70,40,9.22,scattered clouds
334,Ukiah,US,39.15,-123.21,72.03,75,1,0.0,clear sky
335,Katobu,ID,-4.94,122.53,74.8,95,100,3.78,overcast clouds
336,Petrokamenskoye,RU,57.72,60.65,63.21,57,68,5.93,broken clouds
337,Baracoa,CU,20.35,-74.5,87.06,62,30,4.47,scattered clouds
338,Nome,US,64.5,-165.41,44.67,93,90,9.22,light rain mist
339,Natal,BR,-5.79,-35.21,89.82,48,40,12.66,scattered clouds
340,Lircay,PE,-12.99,-74.72,52.34,60,29,6.58,scattered clouds
341,Puerto Escondido,MX,15.85,-97.07,83.7,62,86,2.59,overcast clouds
342,Kaitangata,NZ,-46.28,169.85,48.92,84,100,4.79,overcast clouds
343,Yining,CN,29.04,114.56,76.17,96,98,1.9,overcast clouds
344,Cheremukhovo,RU,60.35,59.99,66.0,47,1,5.59,clear sky
